x,y
-5.12,28.924726
-5.079843,27.036999
-5.039686,25.707724
-4.9995294,24.995337
-4.9593725,24.91942
-4.9192157,25.459461
-4.879059,26.556124
-4.838902,28.11507
-4.798745,30.012863
-4.7585883,32.104794
-4.7184315,34.234116
-4.678274,36.241898
-4.6381173,37.977066
-4.5979605,39.30606
-4.5578036,40.121254
-4.517647,40.347725
-4.47749,39.948067
-4.437333,38.924706
-4.3971763,37.319786
-4.3570194,35.212456
-4.3168626,32.713913
-4.2767057,29.960333
-4.236549,27.1042
-4.196392,24.304749
-4.156235,21.717825
-4.1160784,19.485971
-4.0759215,17.729513
-4.0357647,16.538826
-3.9956076,15.968687
-3.9554508,16.03479
-3.915294,16.71272
-3.875137,17.939524
-3.8349802,19.617723
-3.7948234,21.621414
-3.7546666,23.804346
-3.7145097,26.009068
-3.674353,28.076954
-3.634196,29.858303
-3.594039,31.221704
-3.5538821,32.062443
-3.5137253,32.309105
-3.4735684,31.928093
-3.4334116,30.92577
-3.3932548,29.348055
-3.353098,27.277475
-3.312941,24.828001
-3.2727842,22.137817
-3.2326274,19.360495
-3.1924706,16.655384
-3.1523135,14.177446
-3.1121566,12.067465
-3.0719998,10.443129
-3.031843,9.391556
-2.991686,8.963825
-2.9515293,9.171705
-2.9113724,9.98692
-2.8712156,11.342925
-2.8310587,13.139167
-2.790902,15.247374
-2.7507448,17.519796
-2.710588,19.798372
-2.6704311,21.924978
-2.6302743,23.75124
-2.5901175,25.148026
-2.5499606,26.01363
-2.5098038,26.280148
-2.469647,25.917849
-2.42949,24.937004
-2.3893332,23.387276
-2.3491764,21.354542
-2.3090193,18.955458
-2.2688625,16.330135
-2.2287056,13.63316
-2.1885488,11.023875
-2.148392,8.656299
-2.1082351,6.669316
-2.0680783,5.17793
-2.0279214,4.2659597
-1.9877645,3.9807444
-1.9476076,4.3301334
-1.9074508,5.281991
-1.867294,6.766239
-1.8271371,8.679289
-1.7869802,10.890611
-1.7468233,13.250976
-1.7066665,15.601918
-1.6665096,17.785793
-1.6263528,19.65573
-1.586196,21.084946
-1.546039,21.974758
-1.5058821,22.260853
-1.4657253,21.917358
-1.4255685,20.958473
-1.3854116,19.437553
-1.3452547,17.44377
-1.3050978,15.096442
-1.264941,12.537469
-1.2247841,9.922357
-1.1846273,7.410383
-1.1444703,5.1544814
-1.1043135,3.291597
-1.0641567,1.9339676
-1.0239998,1.1620569
-0.9838429,1.0194321
-0.94368607,1.5100203
-0.9035292,2.5978556
-0.8633723,4.2093506
-0.8232155,6.237963
-0.78305864,8.550949
-0.74290174,10.99775
-0.7027449,13.419539
-0.662588,15.659294
-0.62243116,17.571692
-0.5822743,19.032375
-0.5421174,19.94578
-0.5019606,20.251205
-0.4618037,19.926655
-0.42164683,18.99023
-0.38149,17.498987
-0.34133312,15.545311
-0.30117625,13.251081
-0.26101938,10.759947
-0.22086252,8.2282295
-0.18070567,5.8150225
-0.1405488,3.672121
-0.10039193,1.9344082
-0.06023507,0.71131134
-0.020078205,0.07987404
0.020078205,0.07987404
0.06023507,0.71131134
0.10039193,1.9344082
0.1405488,3.672121
0.18070567,5.8150225
0.22086252,8.2282295
0.26101938,10.759947
0.30117625,13.251081
0.34133312,15.545311
0.38149,17.498987
0.42164683,18.99023
0.4618037,19.926655
0.5019606,20.251205
0.5421174,19.94578
0.5822743,19.032375
0.62243116,17.571692
0.662588,15.659294
0.7027449,13.419539
0.74290174,10.99775
0.78305864,8.550949
0.8232155,6.237963
0.8633723,4.2093506
0.9035292,2.5978556
0.94368607,1.5100203
0.9838429,1.0194321
1.0239998,1.1620569
1.0641567,1.9339676
1.1043135,3.291597
1.1444703,5.1544814
1.1846273,7.410383
1.2247841,9.922357
1.264941,12.537469
1.3050978,15.096442
1.3452547,17.44377
1.3854116,19.437553
1.4255685,20.958473
1.4657253,21.917358
1.5058821,22.260853
1.546039,21.974758
1.586196,21.084946
1.6263528,19.65573
1.6665096,17.785793
1.7066665,15.601918
1.7468233,13.250976
1.7869802,10.890611
1.8271371,8.679289
1.867294,6.766239
1.9074508,5.281991
1.9476076,4.3301334
1.9877645,3.9807444
2.0279214,4.2659597
2.0680783,5.17793
2.1082351,6.669316
2.148392,8.656299
2.1885488,11.023875
2.2287056,13.63316
2.2688625,16.330135
2.3090193,18.955458
2.3491764,21.354542
2.3893332,23.387276
2.42949,24.937004
2.469647,25.917849
2.5098038,26.280148
2.5499606,26.01363
2.5901175,25.148026
2.6302743,23.75124
2.6704311,21.924978
2.710588,19.798372
2.7507448,17.519796
2.790902,15.247374
2.8310587,13.139167
2.8712156,11.342925
2.9113724,9.98692
2.9515293,9.171705
2.991686,8.963825
3.031843,9.391556
3.0719998,10.443129
3.1121566,12.067465
3.1523135,14.177446
3.1924706,16.655384
3.2326274,19.360495
3.2727842,22.137817
3.312941,24.828001
3.353098,27.277475
3.3932548,29.348055
3.4334116,30.92577
3.4735684,31.928093
3.5137253,32.309105
3.5538821,32.062443
3.594039,31.221704
3.634196,29.858303
3.674353,28.076954
3.7145097,26.009068
3.7546666,23.804346
3.7948234,21.621414
3.8349802,19.617723
3.875137,17.939524
3.915294,16.71272
3.9554508,16.03479
3.9956076,15.968687
4.0357647,16.538826
4.0759215,17.729513
4.1160784,19.485971
4.156235,21.717825
4.196392,24.304749
4.236549,27.1042
4.2767057,29.960333
4.3168626,32.713913
4.3570194,35.212456
4.3971763,37.319786
4.437333,38.924706
4.47749,39.948067
4.517647,40.347725
4.5578036,40.121254
4.5979605,39.30606
4.6381173,37.977066
4.678274,36.241898
4.7184315,34.234116
4.7585883,32.104794
4.798745,30.012863
4.838902,28.11507
4.879059,26.556124
4.9192157,25.459461
4.9593725,24.91942
4.9995294,24.995337
5.039686,25.707724
5.079843,27.036999
5.12,28.924726
